cd_municipio;pais;pagina;numero;votos;pct_impresso
98000;GUATEMALA;14;95;1;
98000;GUATEMALA;14;96;1;
98000;GUATEMALA;14;45;35;72.92
98000;GUATEMALA;14;13;11;22.92
98000;GUATEMALA;14;15;1;2.08
98000;GUATEMALA;14;56;1;2.08
98027;GUINE BISSAU;15;95;1;
98027;GUINE BISSAU;15;96;4;
98027;GUINE BISSAU;15;45;43;47.25
98027;GUINE BISSAU;15;13;40;43.96
98027;GUINE BISSAU;15;11;3;3.30
98027;GUINE BISSAU;15;56;3;3.30
98027;GUINE BISSAU;15;12;1;1.10
98027;GUINE BISSAU;15;15;1;1.10
98086;EGITO;11;95;0;
98086;EGITO;11;96;1;
98086;EGITO;11;45;28;59.57
98086;EGITO;11;11;9;19.15
98086;EGITO;11;13;7;14.89
98086;EGITO;11;56;2;4.26
98086;EGITO;11;20;1;2.13
98108;TURQUIA;26;95;0;
98108;TURQUIA;26;96;0;
98108;TURQUIA;26;45;9;64.29
98108;TURQUIA;26;13;5;35.71
98248;SENEGAL;24;95;2;
98248;SENEGAL;24;96;1;
98248;SENEGAL;24;45;10;50.00
98248;SENEGAL;24;13;7;35.00
98248;SENEGAL;24;15;1;5.00
98248;SENEGAL;24;56;1;5.00
98248;SENEGAL;24;36;1;5.00
98280;REPUBLICA DOMINICANA;23;95;1;
98280;REPUBLICA DOMINICANA;23;96;1;
98280;REPUBLICA DOMINICANA;23;45;32;69.57
98280;REPUBLICA DOMINICANA;23;13;10;21.74
98280;REPUBLICA DOMINICANA;23;11;2;4.35
98280;REPUBLICA DOMINICANA;23;12;1;2.17
98280;REPUBLICA DOMINICANA;23;56;1;2.17
98345;NORUEGA;21;95;0;
98345;NORUEGA;21;96;0;
98345;NORUEGA;21;13;19;48.72
98345;NORUEGA;21;45;17;43.59
98345;NORUEGA;21;12;2;5.13
98345;NORUEGA;21;15;1;2.56
98361;NIGERIA;20;95;0;
98361;NIGERIA;20;96;0;
98361;NIGERIA;20;45;30;57.69
98361;NIGERIA;20;13;15;28.85
98361;NIGERIA;20;12;4;7.69
98361;NIGERIA;20;56;3;5.77
98388;NICARAGUA;20;95;0;
98388;NICARAGUA;20;96;3;
98388;NICARAGUA;20;13;31;56.36
98388;NICARAGUA;20;45;19;34.55
98388;NICARAGUA;20;56;2;3.64
98388;NICARAGUA;20;11;1;1.82
98388;NICARAGUA;20;15;1;1.82
98388;NICARAGUA;20;36;1;1.82
98426;FINLANDIA;13;95;0;
98426;FINLANDIA;13;96;0;
98426;FINLANDIA;13;45;21;44.68
98426;FINLANDIA;13;13;18;38.30
98426;FINLANDIA;13;12;5;10.64
98426;FINLANDIA;13;11;1;2.13
98426;FINLANDIA;13;15;1;2.13
98426;FINLANDIA;13;36;1;2.13
98442;FILIPINAS;13;95;0;
98442;FILIPINAS;13;96;0;
98442;FILIPINAS;13;45;17;65.38
98442;FILIPINAS;13;13;7;26.92
98442;FILIPINAS;13;11;1;3.85
98442;FILIPINAS;13;12;1;3.85
98469;EL SALVADOR;11;95;2;
98469;EL SALVADOR;11;96;2;
98469;EL SALVADOR;11;45;37;57.81
98469;EL SALVADOR;11;13;20;31.25
98469;EL SALVADOR;11;56;4;6.25
98469;EL SALVADOR;11;15;2;3.13
98469;EL SALVADOR;11;12;1;1.56
98485;DINAMARCA;11;95;1;
98485;DINAMARCA;11;96;0;
98485;DINAMARCA;11;13;52;48.60
98485;DINAMARCA;11;45;47;43.93
98485;DINAMARCA;11;56;4;3.74
98485;DINAMARCA;11;11;2;1.87
98485;DINAMARCA;11;36;2;1.87
98507;COSTA RICA;10;95;2;
98507;COSTA RICA;10;96;1;
98507;COSTA RICA;10;45;77;61.60
98507;COSTA RICA;10;13;41;32.80
98507;COSTA RICA;10;11;4;3.20
98507;COSTA RICA;10;12;2;1.60
98507;COSTA RICA;10;20;1;0.80
98523;CINGAPURA;9;95;0;
98523;CINGAPURA;9;96;3;
98523;CINGAPURA;9;45;31;83.78
98523;CINGAPURA;9;15;5;13.51
98523;CINGAPURA;9;13;1;2.70
98540;CHINA;9;95;0;
98540;CHINA;9;96;1;
98540;CHINA;9;45;19;48.72
98540;CHINA;9;13;16;41.03
98540;CHINA;9;56;4;10.26
98566;CHECOSLOVAQUIA;8;95;0;
98566;CHECOSLOVAQUIA;8;96;1;
98566;CHECOSLOVAQUIA;8;45;12;46.15
98566;CHECOSLOVAQUIA;8;13;11;42.31
98566;CHECOSLOVAQUIA;8;12;2;7.69
98566;CHECOSLOVAQUIA;8;56;1;3.85
98582;COSTA DO MARFIM;10;95;3;
98582;COSTA DO MARFIM;10;96;0;
98582;COSTA DO MARFIM;10;45;28;73.68
98582;COSTA DO MARFIM;10;13;5;13.16
98582;COSTA DO MARFIM;10;56;3;7.89
98582;COSTA DO MARFIM;10;11;1;2.63
98582;COSTA DO MARFIM;10;15;1;2.63
98728;EMIRADOS ARABES;11;95;2;
98728;EMIRADOS ARABES;11;96;0;
98728;EMIRADOS ARABES;11;45;18;66.67
98728;EMIRADOS ARABES;11;13;4;14.81
98728;EMIRADOS ARABES;11;15;2;7.41
98728;EMIRADOS ARABES;11;56;2;7.41
98728;EMIRADOS ARABES;11;12;1;3.70
98744;SUECIA;24;95;2;
98744;SUECIA;24;96;4;
98744;SUECIA;24;45;57;54.29
98744;SUECIA;24;13;41;39.05
98744;SUECIA;24;12;4;3.81
98744;SUECIA;24;56;2;1.90
98744;SUECIA;24;15;1;0.95
98760;RUSSIA;24;95;0;
98760;RUSSIA;24;96;1;
98760;RUSSIA;24;45;28;62.22
98760;RUSSIA;24;13;12;26.67
98760;RUSSIA;24;12;3;6.67
98760;RUSSIA;24;15;2;4.44
98787;AFRICA DO SUL;5;95;0;
98787;AFRICA DO SUL;5;96;4;
98787;AFRICA DO SUL;5;45;54;67.50
98787;AFRICA DO SUL;5;13;19;23.75
98787;AFRICA DO SUL;5;36;3;3.75
98787;AFRICA DO SUL;5;11;1;1.25
98787;AFRICA DO SUL;5;56;1;1.25
98787;AFRICA DO SUL;5;15;1;1.25
98787;AFRICA DO SUL;5;12;1;1.25
98841;INGLATERRA;16;95;11;
98841;INGLATERRA;16;96;22;
98841;INGLATERRA;16;13;790;60.86
98841;INGLATERRA;16;45;459;35.36
