UF,Ano,CD_Municipio,Municipio,Zona,Tipo_Problema,Detalhe,Votos_Afetados,Pct_Votos_Municipio
MT,2000,98795,NOVO HORIZONTE DO NORTE,21,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: IPIRANGA DO NORTE, ITANHANGÁ, LUCAS DO RIO VERDE, TAPURAH",2398,100.0
MT,2000,90808,NOVO MUNDO,33,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: MATUPÁ, NOVA GUARITA, PEIXOTO DE AZEVEDO, TERRA NOVA DO NORTE",2554,100.0
MT,2000,98779,NOVO SÃO JOAQUIM,47,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ARAGUAIANA, BARRA DO GARÇAS, GENERAL CARNEIRO, PONTAL DO ARAGUAIA, RIBEIRÃOZINHO",4666,100.0
MT,2000,98850,PORTO ALEGRE DO NORTE,15,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO BOA VISTA, LUCIARA, NOVO SANTO ANTÔNIO, SÃO FÉLIX DO ARAGUAIA",4955,100.0
MT,2000,91359,PORTO DOS GAÚCHOS,21,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: IPIRANGA DO NORTE, ITANHANGÁ, LUCAS DO RIO VERDE, TAPURAH",2943,100.0
MT,2000,89931,QUATRO MARCOS,42,MUNICIPIO_INEXISTENTE_2006,Municipio nao encontrado na base 2006 (nome/criacao),11441,100.0
MT,2000,90662,RIBEIRÃO CASCALHEIRA,31,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CANARANA, QUERÊNCIA",4396,100.0
MT,2000,89960,RONDOLÂNDIA,35,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CASTANHEIRA, JUÍNA",1792,100.0
MT,2000,90980,SANTA CRUZ DO XINGU,15,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO BOA VISTA, LUCIARA, NOVO SANTO ANTÔNIO, SÃO FÉLIX DO ARAGUAIA",631,100.0
MT,2000,91979,SANTA TEREZINHA,15,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO BOA VISTA, LUCIARA, NOVO SANTO ANTÔNIO, SÃO FÉLIX DO ARAGUAIA",3591,100.0
MT,2000,89843,SANTO ANTÔNIO DO LESTE,47,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ARAGUAIANA, BARRA DO GARÇAS, GENERAL CARNEIRO, PONTAL DO ARAGUAIA, RIBEIRÃOZINHO",1143,100.0
MT,2000,90921,SERRA NOVA DOURADA,15,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO BOA VISTA, LUCIARA, NOVO SANTO ANTÔNIO, SÃO FÉLIX DO ARAGUAIA",605,100.0
MT,2000,90247,SÃO JOSÉ DO XINGU,15,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO BOA VISTA, LUCIARA, NOVO SANTO ANTÔNIO, SÃO FÉLIX DO ARAGUAIA",2292,100.0
MT,2000,90220,TABAPORÃ,21,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: IPIRANGA DO NORTE, ITANHANGÁ, LUCAS DO RIO VERDE, TAPURAH",2850,100.0
MT,2000,90689,TAPURA,7,MUNICIPIO_INEXISTENTE_2006,Municipio nao encontrado na base 2006 (nome/criacao),5096,100.0
MT,2000,98990,VILA RICA,15,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ALTO BOA VISTA, LUCIARA, NOVO SANTO ANTÔNIO, SÃO FÉLIX DO ARAGUAIA",7262,100.0
MT,2000,91677,VÁRZEA GRANDE,44,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: GUARANTÃ DO NORTE, NOVO MUNDO",25871,24.13
PA,2000,4596,FARO,38,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: ORIXIMINÁ,3487,100.0
PA,2000,4790,LIMOEIRO DO AJURU,12,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: CAMETÁ,8443,100.0
PA,2000,4812,MAGALHÃES BARATA,32,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: MARAPANIM,4995,100.0
PA,2000,4600,NOVA IPIXUNA,56,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: ITUPIRANGA,6300,100.0
PA,2000,5193,PRAINHA,19,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: MONTE ALEGRE,10358,100.0
PA,2000,5371,SANTARÉM NOVO,31,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: MARACANÃ,4473,100.0
PA,2000,4022,TAILÂNDIA,37,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: MOJU,16341,100.0
PA,2000,4367,TERRA SANTA,38,ZONA_EM_OUTRO_MUNICIPIO_2006,Zona vinculada em 2006 a: ORIXIMINÁ,6255,100.0
PB,2000,20052,CUITEGI,10,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: ARAÇAGI, GUARABIRA, PILÕEZINHOS",3421,100.0
PB,2000,19267,SANTO ANDRÉ,22,ZONA_EM_OUTRO_MUNICIPIO_2006,"Zona vinculada em 2006 a: CARAÚBAS, GURJÃO, SÃO JOÃO DO CARIRI",1676,100.0
