ibge,municipio,ano,zona,local,nome,bairro,endereco,lon_antigo,lat_antigo,lon_novo,lat_novo,km,metodo,confianca,evidencia,motivo
2933307,Vitória da Conquista,2024,40,1791,ESCOLA MUNICIPAL OLÍMPIO JOSÉ DIAS,DISTRITO BATE-PÉ,POVOADO POÇO COMPRIDO - ZONA RURAL,-40.8206701,-14.870268,-41.127493,-14.847271,33.11,localidade,media,"localidade POCO COMPRIDO 2 (52 enderecos, raio 0.8 km) | distrito Bate-Pé",pilha de 14 locais em 50 m (14 localidades rurais distintas)
2933307,Vitória da Conquista,2006,40,1821,ESCOLA MUNICIPAL AFONSO HOFFMAN,DISTRITO INHOBIM,POVOADO MATINHA - ZONA RURAL,-40.8204825,-14.8698889,-40.905956,-15.195987,37.45,estabelecimento,alta,ESCOLA AFONSO HOFFMAN [INHOBIM] | distrito Inhobim,pilha de 13 locais em 50 m (13 localidades rurais distintas)
2933307,Vitória da Conquista,2008,40,1821,ESCOLA MUNICIPAL AFONSO HOFFMAN,DISTRITO INHOBIM,POVOADO MATINHA - ZONA RURAL,-40.8204825,-14.8698889,-40.905956,-15.195987,37.45,estabelecimento,alta,ESCOLA AFONSO HOFFMAN [INHOBIM] | distrito Inhobim,pilha de 13 locais em 50 m (13 localidades rurais distintas)
2933307,Vitória da Conquista,2010,40,1821,ESCOLA MUNICIPAL AFONSO HOFFMAN,DISTRITO INHOBIM,POVOADO MATINHA - ZONA RURAL,-40.8204825,-14.8698889,-40.905956,-15.195987,37.45,estabelecimento,alta,ESCOLA AFONSO HOFFMAN [INHOBIM] | distrito Inhobim,pilha de 13 locais em 50 m (13 localidades rurais distintas)
2933307,Vitória da Conquista,2012,40,1821,ESCOLA MUNICIPAL AFONSO HOFFMAN,DISTRITO INHOBIM,POVOADO MATINHA - ZONA RURAL,-40.8204825,-14.8698889,-40.905956,-15.195987,37.45,estabelecimento,alta,ESCOLA AFONSO HOFFMAN [INHOBIM] | distrito Inhobim,pilha de 13 locais em 50 m (13 localidades rurais distintas)
2933307,Vitória da Conquista,2014,40,1821,ESCOLA MUNICIPAL AFONSO HOFFMAN,DISTRITO INHOBIM,POVOADO MATINHA - ZONA RURAL,-40.8204825,-14.8698889,-40.905956,-15.195987,37.45,estabelecimento,alta,ESCOLA AFONSO HOFFMAN [INHOBIM] | distrito Inhobim,pilha de 13 locais em 50 m (13 localidades rurais distintas)
2933307,Vitória da Conquista,2016,40,1821,ESCOLA MUNICIPAL AFONSO HOFFMAN,DISTRITO INHOBIM,POVOADO MATINHA - ZONA RURAL,-40.8204825,-14.8698889,-40.905956,-15.195987,37.45,estabelecimento,alta,ESCOLA AFONSO HOFFMAN [INHOBIM] | distrito Inhobim,pilha de 14 locais em 50 m (14 localidades rurais distintas)
2933307,Vitória da Conquista,2018,40,1821,ESCOLA MUNICIPAL AFONSO HOFFMAN,DISTRITO INHOBIM,POVOADO MATINHA - ZONA RURAL,-40.8204825,-14.8698889,-40.905956,-15.195987,37.45,estabelecimento,alta,ESCOLA AFONSO HOFFMAN [INHOBIM] | distrito Inhobim,pilha de 14 locais em 50 m (14 localidades rurais distintas)
2933307,Vitória da Conquista,2020,40,1821,ESCOLA MUNICIPAL AFONSO HOFFMAN,DISTRITO INHOBIM,POVOADO MATINHA - ZONA RURAL,-40.8204825,-14.8698889,-40.905956,-15.195987,37.45,estabelecimento,alta,ESCOLA AFONSO HOFFMAN [INHOBIM] | distrito Inhobim,pilha de 15 locais em 50 m (15 localidades rurais distintas)
2933307,Vitória da Conquista,2022,40,1821,ESCOLA MUNICIPAL AFONSO HOFFMAN,DISTRITO INHOBIM,POVOADO MATINHA - ZONA RURAL,-40.8204825,-14.8698889,-40.905956,-15.195987,37.45,estabelecimento,alta,ESCOLA AFONSO HOFFMAN [INHOBIM] | distrito Inhobim,pilha de 15 locais em 50 m (15 localidades rurais distintas)
2933307,Vitória da Conquista,2006,40,1864,ESCOLA MUNICIPAL PAULO SETÚBAL,DISTRITO INHOBIM,DISTRITO INHOBIM - ZONA RURAL,-40.8204878,-14.870417,-40.950859,-15.273702,47.03,estabelecimento,alta,ESCOLA MUNICIPAL PAULO SETUBA [INHOBIM] | distrito Inhobim,pilha de 9 locais em 50 m (8 localidades rurais distintas)
2933307,Vitória da Conquista,2008,40,1864,ESCOLA MUNICIPAL PAULO SETÚBAL,DISTRITO INHOBIM,DISTRITO INHOBIM - ZONA RURAL,-40.8204878,-14.870417,-40.950859,-15.273702,47.03,estabelecimento,alta,ESCOLA MUNICIPAL PAULO SETUBA [INHOBIM] | distrito Inhobim,pilha de 9 locais em 50 m (8 localidades rurais distintas)
2933307,Vitória da Conquista,2010,40,1864,ESCOLA MUNICIPAL PAULO SETÚBAL,DISTRITO INHOBIM,DISTRITO INHOBIM - ZONA RURAL,-40.8204878,-14.870417,-40.950859,-15.273702,47.03,estabelecimento,alta,ESCOLA MUNICIPAL PAULO SETUBA [INHOBIM] | distrito Inhobim,pilha de 9 locais em 50 m (8 localidades rurais distintas)
2933307,Vitória da Conquista,2012,40,1864,ESCOLA MUNICIPAL PAULO SETÚBAL,DISTRITO INHOBIM,DISTRITO INHOBIM - ZONA RURAL,-40.8204878,-14.870417,-40.950859,-15.273702,47.03,estabelecimento,alta,ESCOLA MUNICIPAL PAULO SETUBA [INHOBIM] | distrito Inhobim,pilha de 9 locais em 50 m (8 localidades rurais distintas)
2933307,Vitória da Conquista,2014,40,1864,ESCOLA MUNICIPAL PAULO SETÚBAL,DISTRITO INHOBIM,DISTRITO INHOBIM - ZONA RURAL,-40.8204878,-14.870417,-40.950859,-15.273702,47.03,estabelecimento,alta,ESCOLA MUNICIPAL PAULO SETUBA [INHOBIM] | distrito Inhobim,pilha de 9 locais em 50 m (8 localidades rurais distintas)
2933307,Vitória da Conquista,2016,40,1864,ESCOLA MUNICIPAL PAULO SETÚBAL,DISTRITO INHOBIM,DISTRITO INHOBIM - ZONA RURAL,-40.8204878,-14.870417,-40.950859,-15.273702,47.03,estabelecimento,alta,ESCOLA MUNICIPAL PAULO SETUBA [INHOBIM] | distrito Inhobim,pilha de 10 locais em 50 m (9 localidades rurais distintas)
2933307,Vitória da Conquista,2018,40,1864,ESCOLA MUNICIPAL PAULO SETÚBAL,DISTRITO INHOBIM,DISTRITO INHOBIM - ZONA RURAL,-40.8204878,-14.870417,-40.950859,-15.273702,47.03,estabelecimento,alta,ESCOLA MUNICIPAL PAULO SETUBA [INHOBIM] | distrito Inhobim,pilha de 11 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2020,40,1864,ESCOLA MUNICIPAL PAULO SETÚBAL,DISTRITO INHOBIM,DISTRITO INHOBIM - ZONA RURAL,-40.8204878,-14.870417,-40.950859,-15.273702,47.03,estabelecimento,alta,ESCOLA MUNICIPAL PAULO SETUBA [INHOBIM] | distrito Inhobim,pilha de 11 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2022,40,1864,ESCOLA MUNICIPAL PAULO SETÚBAL,DISTRITO INHOBIM,DISTRITO INHOBIM - ZONA RURAL,-40.8204878,-14.870417,-40.950859,-15.273702,47.03,estabelecimento,alta,ESCOLA MUNICIPAL PAULO SETUBA [INHOBIM] | distrito Inhobim,pilha de 11 locais em 50 m (10 localidades rurais distintas)
2933307,Vitória da Conquista,2006,40,1872,CENTRO EDUCACIONAL RUY BARBOSA,DISTRITO CERCADINHO,POVOADO CERCADINHO - ZONA RURAL,-40.8206504,-14.8703283,-40.846958,-14.888067,3.45,estabelecimento,media,INSTITUTO DE EDUCACAO RUY BARBOSA [FELICIA],pilha de 10 locais em 50 m (9 localidades rurais distintas)
2933307,Vitória da Conquista,2008,40,1872,CENTRO EDUCACIONAL RUY BARBOSA,DISTRITO CERCADINHO,POVOADO CERCADINHO - ZONA RURAL,-40.8206504,-14.8703283,-40.846958,-14.888067,3.45,estabelecimento,media,INSTITUTO DE EDUCACAO RUY BARBOSA [FELICIA],pilha de 10 locais em 50 m (9 localidades rurais distintas)
2933307,Vitória da Conquista,2010,40,1872,CENTRO EDUCACIONAL RUY BARBOSA,DISTRITO CERCADINHO,POVOADO CERCADINHO - ZONA RURAL,-40.8206504,-14.8703283,-40.846958,-14.888067,3.45,estabelecimento,media,INSTITUTO DE EDUCACAO RUY BARBOSA [FELICIA],pilha de 10 locais em 50 m (9 localidades rurais distintas)
2933307,Vitória da Conquista,2012,40,1872,CENTRO EDUCACIONAL RUY BARBOSA,DISTRITO CERCADINHO,POVOADO CERCADINHO - ZONA RURAL,-40.8206504,-14.8703283,-40.846958,-14.888067,3.45,estabelecimento,media,INSTITUTO DE EDUCACAO RUY BARBOSA [FELICIA],pilha de 10 locais em 50 m (9 localidades rurais distintas)
